Timestamp,Em qual bairro do Recife ou Região Metropolitana você reside?  ,Sua residência ou rua costuma ser afetada por alagamentos em períodos de chuva? ,Como você costuma ficar sabendo que um alagamento vai acontecer na sua rua? (Marque todas as que se aplicam),"Nos últimos 12 meses, com quanto tempo de antecedência você conseguiu se preparar antes da água atingir sua casa/rua?",Qual é a sua maior dificuldade quando começa uma chuva forte? [Perda de móveis e eletrodomésticos:],Qual é a sua maior dificuldade quando começa uma chuva forte? [Risco de doenças ou acidentes:],Qual é a sua maior dificuldade quando começa uma chuva forte? [Ficar preso em casa ou no trabalho:],Qual é a sua maior dificuldade quando começa uma chuva forte? [Falta de informações confiáveis sobre o nível do rio/canal:],"Se existisse um sistema que enviasse um alerta direto no seu celular sobre o risco de alagamento na sua rua específica, por qual canal você preferiria receber?","Em uma situação de emergência, o que seria MAIS importante para você ver em um alerta no celular?","Durante chuvas muito fortes, como costuma ficar o sinal de internet (3G/4G/Wi-Fi) na sua casa?",Existe algo que você gostaria que os órgãos de monitoramento fizessem e que hoje não é feito?
3/5/2026 19:37:42,Boa Viagem,"Raramente, mas já aconteceu","Olhando o nível da água na calçada/rio, Grupos de WhatsApp de vizinhos",Não fui atingido,1,2,5,3,Mensagem no WhatsApp (com mapa e nível da água),Um mapa colorido mostrando as ruas já alagadas,Funciona normalmente,Ações preventivas para evitar alagamentos. Importante monitorar e tomar ações antes mesmo de ocorrer alagamentos
3/5/2026 19:41:09,Areias,Não,,,,,,,,,,
3/5/2026 20:13:47,Cordeiro,Às vezes (apenas em grandes temporais),Observando a intensidade da chuva na hora,Não tive tempo nenhum (fui pego de surpresa),1,2,3,2,Mensagem no WhatsApp (com mapa e nível da água),Um mapa colorido mostrando as ruas já alagadas,"Fica lento, mas funciona","Enviar alertas de regiões com tendência a alagamento com antecedência, compartilhar as previsões de chuvas fortes em tempo real e fornecer os dados para ajudar nas pesquisas e obras de infraestrutura urbana"
3/5/2026 20:14:27,Casa Amarela ,Não,,,,,,,,,,
3/5/2026 20:31:33,Graças,"Sim, com frequência (todos os anos)","Olhando o nível da água na calçada/rio, Observando a intensidade da chuva na hora",Não tive tempo nenhum (fui pego de surpresa),1,3,4,5,Mensagem no WhatsApp (com mapa e nível da água),"Um aviso em texto curto: ""Risco Alto: Saia de casa nos próximos 20 min""","Fica lento, mas funciona",
3/5/2026 20:37:36,cordeiro ,"Raramente, mas já aconteceu","Olhando o nível da água na calçada/rio, Observando a intensidade da chuva na hora",Não fui atingido,5,3,5,2,Mensagem no WhatsApp (com mapa e nível da água),Um mapa colorido mostrando as ruas já alagadas,"Fica lento, mas funciona",
3/5/2026 20:41:04,Casa amarela,"Raramente, mas já aconteceu",Olhando o nível da água na calçada/rio,Entre 30 minutos e 2 horas,1,3,1,2,Mensagem no WhatsApp (com mapa e nível da água),"Um aviso em texto curto: ""Risco Alto: Saia de casa nos próximos 20 min""","Fica lento, mas funciona",Nao
3/5/2026 20:47:58,Casa Amarela,Não,,,,,,,,,,
3/6/2026 9:47:22,Ipsep,Não,,,,,,,,,,
3/6/2026 11:35:14,Imbiribeira ,"Sim, com frequência (todos os anos)","Avisos de rádio ou TV, Observando a intensidade da chuva na hora",Não fui atingido,1,3,5,3,Mensagem no WhatsApp (com mapa e nível da água),Um mapa colorido mostrando as ruas já alagadas,Funciona normalmente,
3/6/2026 13:13:38,Boa viagem ,Não,,,,,,,,,,
3/6/2026 13:16:02,Imbiribeira ,Não,,,,,,,,,,
3/6/2026 18:54:38,Recife Antigo,"Sim, com frequência (todos os anos)",Olhando o nível da água na calçada/rio,Não tive tempo nenhum (fui pego de surpresa),1,4,4,3,Notificação de um aplicativo próprio,Um mapa colorido mostrando as ruas já alagadas,Funciona normalmente,Um aplicativo para alertar os moradores sobre possíveis areas de alagamento 
3/12/2026 10:15:58,Barra de Jangada ,"Raramente, mas já aconteceu",Observando a intensidade da chuva na hora,Não fui atingido,3,4,5,1,Notificação de um aplicativo próprio,Um mapa colorido mostrando as ruas já alagadas,"Fica lento, mas funciona",
3/13/2026 21:50:31,Apipucos,Não,,,,,,,,,,
4/23/2026 8:43:44,espinheiro,"Sim, com frequência (todos os anos)",SMS da Defesa Civil,Menos de 30 minutos,1,2,4,3,Notificação de um aplicativo próprio,Um mapa colorido mostrando as ruas já alagadas,Funciona normalmente,
